epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1128.95,0.26071,0.12835,0.67159,0.96238,0.98174,0.97337,0.91384,0.22184,0.12847,0.65821,0.000756101,0.000756101,0.000756101
71,1144.71,0.24251,0.12442,0.66927,0.97037,0.98526,0.9848,0.92208,0.22493,0.12471,0.65927,0.000742899,0.000742899,0.000742899
72,1160.78,0.29059,0.13526,0.67201,0.97283,0.98701,0.98092,0.92344,0.21588,0.12293,0.65681,0.000729698,0.000729698,0.000729698
73,1176.76,0.29129,0.13705,0.67606,0.95764,0.98808,0.98299,0.92098,0.22436,0.12825,0.65688,0.000716496,0.000716496,0.000716496
74,1192.83,0.28952,0.13876,0.67113,0.96511,0.98891,0.97458,0.91583,0.21573,0.12739,0.65467,0.000703295,0.000703295,0.000703295
75,1209.34,0.32068,0.14947,0.67668,0.96206,0.96621,0.98091,0.91695,0.224,0.13733,0.6635,0.000690093,0.000690093,0.000690093
76,1225.3,0.27317,0.13151,0.67303,0.97531,0.98379,0.98312,0.92499,0.21269,0.11938,0.6543,0.000676892,0.000676892,0.000676892
77,1241.17,0.26961,0.12883,0.67234,0.97076,0.9894,0.98711,0.91949,0.23953,0.12125,0.65877,0.000663691,0.000663691,0.000663691
78,1257.01,0.26173,0.12729,0.66983,0.96642,0.97577,0.98107,0.91653,0.22123,0.12369,0.65724,0.000650489,0.000650489,0.000650489
79,1273.07,0.25977,0.12659,0.66767,0.97094,0.98113,0.98416,0.92473,0.21575,0.11514,0.65638,0.000637288,0.000637288,0.000637288
80,1289.04,0.27377,0.12901,0.6725,0.97224,0.9784,0.98599,0.92585,0.22116,0.11705,0.65381,0.000624086,0.000624086,0.000624086
81,1305.12,0.27214,0.1289,0.66794,0.96803,0.98578,0.9832,0.92122,0.22708,0.11834,0.65464,0.000610885,0.000610885,0.000610885
82,1321.16,0.27545,0.12957,0.67058,0.97351,0.97915,0.9865,0.92806,0.22701,0.11957,0.65529,0.000597683,0.000597683,0.000597683
83,1337.53,0.26527,0.12532,0.66576,0.97405,0.9849,0.98651,0.92697,0.22839,0.11849,0.65596,0.000584482,0.000584482,0.000584482
84,1353.67,0.28176,0.12832,0.6684,0.96866,0.98411,0.98134,0.92342,0.21322,0.11905,0.65552,0.00057128,0.00057128,0.00057128
85,1369.78,0.27601,0.12789,0.67562,0.97356,0.98495,0.98174,0.91547,0.24054,0.12385,0.65941,0.000558079,0.000558079,0.000558079
86,1385.95,0.24707,0.12119,0.66872,0.96695,0.98024,0.98427,0.92426,0.2174,0.12033,0.65487,0.000544878,0.000544878,0.000544878
87,1402.24,0.30438,0.13661,0.67397,0.97175,0.98648,0.98276,0.92587,0.20845,0.11784,0.65481,0.000531676,0.000531676,0.000531676
88,1418.56,0.27193,0.12662,0.67453,0.96997,0.98116,0.98304,0.92111,0.21314,0.11557,0.65471,0.000518475,0.000518475,0.000518475
89,1434.55,0.24476,0.11813,0.66569,0.97621,0.9888,0.98555,0.92571,0.21669,0.11454,0.65401,0.000505273,0.000505273,0.000505273
90,1450.55,0.26949,0.12427,0.66989,0.97489,0.98271,0.98542,0.92758,0.21312,0.11437,0.65441,0.000492072,0.000492072,0.000492072
91,1466.47,0.23953,0.11797,0.66394,0.97619,0.97934,0.987,0.92518,0.21061,0.11147,0.65338,0.00047887,0.00047887,0.00047887
92,1482.51,0.27285,0.12381,0.67269,0.97291,0.98429,0.98363,0.92791,0.19903,0.11033,0.65231,0.000465669,0.000465669,0.000465669
