epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1092.23,0.28364,0.20582,0.81576,0.97011,0.98578,0.98401,0.92368,0.29775,0.24314,0.80073,0.000593484,0.000593484,0.000593484
69,1108.2,0.28269,0.20869,0.81216,0.96709,0.97972,0.98026,0.9142,0.30569,0.24947,0.80242,0.000577462,0.000577462,0.000577462
70,1124.02,0.2602,0.19689,0.81249,0.96744,0.98774,0.97889,0.91533,0.29542,0.24541,0.80213,0.000561439,0.000561439,0.000561439
71,1139.87,0.24448,0.18738,0.81202,0.97171,0.97991,0.98862,0.92118,0.29512,0.24121,0.80279,0.000545417,0.000545417,0.000545417
72,1155.81,0.29359,0.20977,0.81428,0.96812,0.98915,0.98197,0.92243,0.29489,0.24107,0.80233,0.000529394,0.000529394,0.000529394
73,1171.82,0.28843,0.20934,0.81696,0.96258,0.98888,0.97669,0.91543,0.29801,0.24543,0.80459,0.000513371,0.000513371,0.000513371
74,1187.77,0.30004,0.21082,0.81587,0.97482,0.98768,0.98476,0.9248,0.29334,0.22493,0.80086,0.000497349,0.000497349,0.000497349
75,1204.22,0.32862,0.22313,0.81623,0.97198,0.97507,0.98655,0.92699,0.28308,0.23623,0.79985,0.000481326,0.000481326,0.000481326
76,1220.13,0.26489,0.19518,0.8124,0.97185,0.98508,0.98171,0.92504,0.28306,0.22454,0.80108,0.000465303,0.000465303,0.000465303
77,1235.96,0.27262,0.19418,0.81225,0.97154,0.98789,0.98418,0.9227,0.29158,0.22548,0.80408,0.000449281,0.000449281,0.000449281
78,1251.76,0.26396,0.19129,0.81516,0.97588,0.98395,0.98661,0.91802,0.29662,0.23179,0.80525,0.000433258,0.000433258,0.000433258
79,1267.77,0.25902,0.1882,0.80681,0.97255,0.98639,0.9876,0.92498,0.29703,0.22504,0.80679,0.000417236,0.000417236,0.000417236
80,1283.7,0.27422,0.19888,0.81149,0.97252,0.98725,0.98616,0.91588,0.30982,0.23157,0.80454,0.000401213,0.000401213,0.000401213
81,1299.69,0.26823,0.19275,0.8114,0.97143,0.98789,0.98602,0.92551,0.29029,0.22627,0.8011,0.00038519,0.00038519,0.00038519
82,1315.6,0.27088,0.18937,0.81142,0.96836,0.9871,0.98352,0.92422,0.28901,0.22809,0.80048,0.000369168,0.000369168,0.000369168
83,1331.56,0.25897,0.18989,0.80824,0.97459,0.98149,0.98267,0.92403,0.28825,0.22457,0.80169,0.000353145,0.000353145,0.000353145
84,1348.32,0.19193,0.13878,0.78122,0.9748,0.98648,0.9799,0.92189,0.28958,0.22818,0.80098,0.000337122,0.000337122,0.000337122
85,1364,0.19311,0.13848,0.7833,0.97372,0.98138,0.98482,0.92736,0.28958,0.2343,0.80411,0.0003211,0.0003211,0.0003211
86,1379.57,0.18507,0.13793,0.78114,0.97024,0.98398,0.98462,0.92356,0.29436,0.22628,0.80257,0.000305077,0.000305077,0.000305077
87,1395.05,0.18314,0.13416,0.77571,0.97381,0.98324,0.98495,0.92312,0.29264,0.2239,0.80592,0.000289055,0.000289055,0.000289055
88,1410.62,0.18494,0.13569,0.78037,0.96868,0.98684,0.98232,0.92105,0.29308,0.23159,0.80623,0.000273032,0.000273032,0.000273032
89,1426.18,0.17916,0.13509,0.77985,0.97242,0.98298,0.98357,0.92233,0.28987,0.22529,0.80321,0.000257009,0.000257009,0.000257009
90,1441.79,0.1918,0.13587,0.78382,0.97022,0.98508,0.98299,0.92375,0.28958,0.22069,0.80343,0.000240987,0.000240987,0.000240987
91,1457.39,0.18763,0.13267,0.7814,0.96982,0.98484,0.98553,0.92725,0.28722,0.21523,0.803,0.000224964,0.000224964,0.000224964
